lat,lon,temp_avg,temp_min,temp_max,pm_1_avg,pm_1_min,pm_1_max,pm_2_5_avg,pm_2_5_min,pm_2_5_max,pm_10_avg,pm_10_min,pm_10_max,hum_avg,hum_min,hum_max,date,hour
51.469,5.401,8.793774,8.727016,8.860532,6.793537,6.758255,6.8288198,7.185328,7.1491613,7.221495,7.1870627,7.1522913,7.221834,39.803146,39.613937,39.992355,2025-03-19,9
51.469,5.402,8.68429,8.68429,8.68429,6.459459,6.459459,6.459459,6.833965,6.833965,6.833965,6.8380356,6.8380356,6.8380356,39.68718,39.68718,39.68718,2025-03-19,9
51.468,5.403,8.788433,8.788433,8.788433,6.161154,6.161154,6.161154,6.5161376,6.5161376,6.5161376,6.517303,6.517303,6.517303,39.65056,39.65056,39.65056,2025-03-19,9
51.468,5.404,8.705653,8.705653,8.705653,6.0995994,6.0995994,6.0995994,6.4602237,6.4602237,6.4602237,6.472596,6.472596,6.472596,39.395737,39.395737,39.395737,2025-03-19,9
51.468,5.405,8.697642,8.564126,8.831158,5.5944624,5.3877554,5.8011694,5.9316783,5.7126546,6.150702,5.950913,5.731355,6.170471,39.970238,39.832138,40.108337,2025-03-19,9
51.468,5.406,8.873884,8.873884,8.873884,5.3806934,5.3806934,5.3806934,5.7054033,5.7054033,5.7054033,5.724365,5.724365,5.724365,39.737534,39.737534,39.737534,2025-03-19,9
51.468,5.407,8.824483,8.796444,8.852521,6.0568132,5.9530787,6.1605477,6.419308,6.312015,6.526602,6.4369674,6.3326077,6.5413275,39.73448,39.49034,39.978622,2025-03-19,9
51.469,5.407,8.828487,8.825818,8.831158,6.1350975,6.1264677,6.143728,6.5034976,6.4897532,6.5172424,6.522874,6.5034876,6.5422597,39.028755,38.908966,39.148544,2025-03-19,9
51.47,5.407,8.748378,8.748378,8.748378,6.639315,6.639315,6.639315,7.0333714,7.0333714,7.0333714,7.0486975,7.0486975,7.0486975,38.290985,38.290985,38.290985,2025-03-19,9
51.47,5.408,8.692301,8.692301,8.692301,6.0162535,6.0162535,6.0162535,6.3631783,6.3631783,6.3631783,6.364669,6.364669,6.364669,37.933914,37.933914,37.933914,2025-03-19,9
51.471,5.409,8.6429,8.60151,8.68429,6.1619906,5.9385567,6.3854246,6.5161424,6.279926,6.7523584,6.51623,6.2800837,6.752376,37.94536,37.941544,37.949173,2025-03-19,9
51.471,5.41,8.628213,8.628213,8.628213,7.08102,7.08102,7.08102,7.487912,7.487912,7.487912,7.4879146,7.4879146,7.4879146,37.43953,37.43953,37.43953,2025-03-19,9
51.472,5.411,8.729686,8.727016,8.732356,7.695165,7.6361537,7.754176,8.137347,8.074945,8.199749,8.137349,8.074947,8.199752,37.89425,37.752335,38.036163,2025-03-19,9
51.472,5.412,8.839169,8.839169,8.839169,7.8154354,7.8154354,7.8154354,8.264528,8.264528,8.264528,8.264531,8.264531,8.264531,38.0148,38.0148,38.0148,2025-03-19,9
51.473,5.413,8.755054,8.692301,8.817807,8.4652605,8.373903,8.556618,8.9516945,8.855088,9.048302,8.951697,8.855091,9.048305,38.246735,38.12314,38.37033,2025-03-19,9
51.474,5.414,8.713664,8.713664,8.713664,8.835581,8.835581,8.835581,9.358044,9.358044,9.358044,9.376063,9.376063,9.376063,37.985794,37.985794,37.985794,2025-03-19,9
51.474,5.415,8.832494,8.783093,8.881895,8.775545,8.454812,9.096279,9.341854,9.010582,9.673126,9.417639,9.096004,9.739274,38.080414,38.043793,38.117035,2025-03-19,9
51.475,5.416,8.895246,8.895246,8.895246,7.9630547,7.9630547,7.9630547,8.474242,8.474242,8.474242,8.539723,8.539723,8.539723,37.993423,37.993423,37.993423,2025-03-19,9
51.475,5.417,8.9045925,8.865873,8.943312,6.548118,6.3905325,6.7057033,6.9543715,6.7953835,7.1133595,6.9909964,6.841354,7.1406393,37.836266,37.65773,38.0148,2025-03-19,9
51.476,5.418,8.972686,8.972686,8.972686,6.1907043,6.1907043,6.1907043,6.5946827,6.5946827,6.5946827,6.653612,6.653612,6.653612,37.599747,37.599747,37.599747,2025-03-19,9
51.476,5.419,9.042114,9.042114,9.042114,6.0246086,6.0246086,6.0246086,6.422452,6.422452,6.422452,6.485545,6.485545,6.485545,37.74623,37.74623,37.74623,2025-03-19,9
51.476,5.42,8.956664,8.956664,8.956664,6.100165,6.100165,6.100165,6.5049505,6.5049505,6.5049505,6.571218,6.571218,6.571218,37.956802,37.956802,37.956802,2025-03-19,9
51.455,5.406,21.843672,21.843672,21.843672,9.44482,9.44482,9.44482,9.987539,9.987539,9.987539,9.987539,9.987539,9.987539,29.50026,29.50026,29.50026,2025-03-19,15
